"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 26 23:26:52 GMT 2022","Sat Mar 26 23:26:52 GMT 2022","8","","Тесты контроллера апи OrderController","","com.sbt.pprb.qa.test_task.controller.api.OrderControllerTest","itShouldReturnUnauthorizedOnOrderDeleteRequest","itShouldReturnUnauthorizedOnOrderDeleteRequest()",""
"passed","Sat Mar 26 23:26:58 GMT 2022","Sat Mar 26 23:26:58 GMT 2022","95","","Тесты сервиса UserService","","com.sbt.pprb.qa.test_task.service.UserServiceTest","canCreateUser","canCreateUser()",""
"passed","Sat Mar 26 23:26:59 GMT 2022","Sat Mar 26 23:26:59 GMT 2022","2","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canTakeLastBeverage","canTakeLastBeverage()",""
"passed","Sat Mar 26 23:26:54 GMT 2022","Sat Mar 26 23:26:54 GMT 2022","13","","Тесты контроллера апи ApplicationInfoController","","com.sbt.pprb.qa.test_task.controller.api.ApplicationInfoControllerTest","itShouldReturnRestConfig","itShouldReturnRestConfig()",""
"passed","Sat Mar 26 23:26:58 GMT 2022","Sat Mar 26 23:26:58 GMT 2022","2","","Тесты проверки создания контроллеров","","com.sbt.pprb.qa.test_task.VendingMachineApplicationTests","orderControllerLoads","orderControllerLoads()",""
"passed","Sat Mar 26 23:26:59 GMT 2022","Sat Mar 26 23:26:59 GMT 2022","5","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canSelectIce","canSelectIce()",""
"passed","Sat Mar 26 23:26:43 GMT 2022","Sat Mar 26 23:26:43 GMT 2022","22","","Тесты репозитория OrdersRepository","","com.sbt.pprb.qa.test_task.repository.OrdersRepositoryTest","itShouldFindOrderByOwnerAndActive","itShouldFindOrderByOwnerAndActive()",""
"passed","Sat Mar 26 23:26:52 GMT 2022","Sat Mar 26 23:26:52 GMT 2022","16","","Тесты контроллера апи OrderController","","com.sbt.pprb.qa.test_task.controller.api.OrderControllerTest","itShouldNotDeleteFinishedOrders","itShouldNotDeleteFinishedOrders()",""
"passed","Sat Mar 26 23:26:59 GMT 2022","Sat Mar 26 23:26:59 GMT 2022","2","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canAddBalanceAndChangeAmountOf10To500","canAddBalanceAndChangeAmountOf10To500()",""
"passed","Sat Mar 26 23:26:50 GMT 2022","Sat Mar 26 23:26:50 GMT 2022","43","","Тесты контроллера HomeController","","com.sbt.pprb.qa.test_task.controller.mvc.HomeControllerTest","itShouldReturnMainPage","itShouldReturnMainPage()",""
"passed","Sat Mar 26 23:26:58 GMT 2022","Sat Mar 26 23:26:58 GMT 2022","1","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canGetActiveOrder","canGetActiveOrder()",""
"passed","Sat Mar 26 23:26:52 GMT 2022","Sat Mar 26 23:26:52 GMT 2022","23","","Тесты контроллера апи OrderController","","com.sbt.pprb.qa.test_task.controller.api.OrderControllerTest","itShouldResetBalance","itShouldResetBalance()",""
"passed","Sat Mar 26 23:26:58 GMT 2022","Sat Mar 26 23:26:58 GMT 2022","2","","Тесты сервиса BeverageService","","com.sbt.pprb.qa.test_task.service.BeverageServiceTest","canAddVolume","canAddVolume()",""
"passed","Sat Mar 26 23:26:59 GMT 2022","Sat Mar 26 23:26:59 GMT 2022","3","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canRemoveBeverage","canRemoveBeverage()",""
"passed","Sat Mar 26 23:26:58 GMT 2022","Sat Mar 26 23:26:58 GMT 2022","7","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canResetBalance","canResetBalance()",""
